Date,Sales_Dollars,Category,CategoryName
2017-01-03,33545.07,1011100,"Blended Whiskies"
2017-01-03,57167.4,1011200,"Straight Bourbon Whiskies"
2017-01-03,1626.7,1011300,"Single Barrel Bourbon Whiskies"
2017-01-03,39687.45,1011400,"Tennessee Whiskies"
2017-01-03,8120.39,1011600,"Straight Rye Whiskies"
2017-01-03,82.5,1011700,"Corn Whiskies"
2017-01-03,122451.72,1012100,"Canadian Whiskies"
2017-01-03,14464.23,1012200,"Scotch Whiskies"
2017-01-03,6516.39,1012300,"Single Malt Scotch"
2017-01-03,25094.06,1012400,"Irish Whiskies"
2017-01-03,19847.68,1022100,"Mixto Tequila"
2017-01-03,30923.3,1022200,"100% Agave Tequila"
2017-01-03,39.78,1022300,Mezcal
2017-01-03,112674.61,1031100,"American Vodkas"
2017-01-03,36208.29,1031200,"American Flavored Vodka"
2017-01-03,64361.66,1032100,"Imported Vodkas"
2017-01-03,25417.73,1032200,"Imported Flavored Vodka"
2017-01-03,11634.58,1041100,"American Dry Gins"
2017-01-03,516.22,1041200,"Flavored Gin"
2017-01-03,24.39,1041300,"American Sloe Gins"
2017-01-03,13391.42,1042100,"Imported Dry Gins"
2017-01-03,22118.94,1051100,"American Brandies"
2017-01-03,49590.58,1052100,"Imported Brandies"
2017-01-03,4139.97,1062100,"Gold Rum"
2017-01-03,20441.49,1062200,"White Rum"
2017-01-03,2469.72,1062300,"Aged Dark Rum"
2017-01-03,71430.8000000001,1062400,"Spiced Rum"
2017-01-03,21250.26,1062500,"Flavored Rum"
2017-01-03,12202.29,1071100,"Cocktails /RTD"
2017-01-03,165.0,1081000,"American Cordials & Liqueurs"
2017-01-03,6337.01,1081100,"Coffee Liqueurs"
2017-01-03,22830.76,1081200,"Cream Liqueurs"
2017-01-03,9765.28000000001,1081300,"American Cordials & Liqueur"
2017-01-03,19385.74,1081400,"American Schnapps"
2017-01-03,2146.11,1081500,"Triple Sec"
2017-01-03,44855.42,1081600,"Whiskey Liqueur"
2017-01-03,27462.09,1082000,"Imported Cordials & Liqueurs"
2017-01-03,20203.89,1082200,"Imported Schnapps"
2017-01-03,40.5,1091000,"American Distilled Spirits Specialty"
2017-01-03,1480.2,1091100,"American Distilled Spirit Specialty"
2017-01-03,2983.08,1091200,"Neutral Grain Spirits"
2017-01-03,1260.21,1091300,"Neutral Grain Spirits Flavored"
2017-01-03,682.6,1091400,"Iowa Distilleries"
2017-01-03,3150.39,1092100,"Imported Distilled Spirit Specialty"
2017-01-03,790.41,1701100,"Temporary & Specialty Packages"
2017-01-03,4466.82,1901200,"Special Order Items"
2017-01-03,1849.55,"",""
2017-01-04,32841.19,1011100,"Blended Whiskies"
2017-01-04,71644.49,1011200,"Straight Bourbon Whiskies"
2017-01-04,1233.16,1011300,"Single Barrel Bourbon Whiskies"
2017-01-04,38984.55,1011400,"Tennessee Whiskies"
2017-01-04,418.8,1011500,"Bottled in Bond Bourbon"
2017-01-04,7781.18,1011600,"Straight Rye Whiskies"
2017-01-04,165.0,1011700,"Corn Whiskies"
2017-01-04,149337.74,1012100,"Canadian Whiskies"
2017-01-04,18539.27,1012200,"Scotch Whiskies"
2017-01-04,13425.06,1012300,"Single Malt Scotch"
2017-01-04,23812.47,1012400,"Irish Whiskies"
2017-01-04,27478.32,1022100,"Mixto Tequila"
2017-01-04,45778.14,1022200,"100% Agave Tequila"
2017-01-04,163.35,1022300,Mezcal
2017-01-04,139049.65,1031100,"American Vodkas"
2017-01-04,37564.72,1031200,"American Flavored Vodka"
2017-01-04,68737.8500000001,1032100,"Imported Vodkas"
2017-01-04,26357.8,1032200,"Imported Flavored Vodka"
2017-01-04,12800.36,1041100,"American Dry Gins"
2017-01-04,214.28,1041200,"Flavored Gin"
2017-01-04,235.77,1041300,"American Sloe Gins"
2017-01-04,12647.76,1042100,"Imported Dry Gins"
2017-01-04,21639.33,1051100,"American Brandies"
2017-01-04,36658.66,1052100,"Imported Brandies"
2017-01-04,5759.47,1062100,"Gold Rum"
2017-01-04,24146.31,1062200,"White Rum"
2017-01-04,1917.33,1062300,"Aged Dark Rum"
2017-01-04,73279.1300000001,1062400,"Spiced Rum"
2017-01-04,31717.52,1062500,"Flavored Rum"
2017-01-04,16589.22,1071100,"Cocktails /RTD"
2017-01-04,285.0,1081000,"American Cordials & Liqueurs"
2017-01-04,9701.67,1081100,"Coffee Liqueurs"
2017-01-04,27556.62,1081200,"Cream Liqueurs"
2017-01-04,15849.29,1081300,"American Cordials & Liqueur"
2017-01-04,27790.5800000001,1081400,"American Schnapps"
2017-01-04,2373.99,1081500,"Triple Sec"
2017-01-04,58478.07,1081600,"Whiskey Liqueur"
2017-01-04,30236.32,1082000,"Imported Cordials & Liqueurs"
2017-01-04,28869.92,1082200,"Imported Schnapps"
2017-01-04,1972.41,1091100,"American Distilled Spirit Specialty"
2017-01-04,3676.2,1091200,"Neutral Grain Spirits"
2017-01-04,1143.75,1091300,"Neutral Grain Spirits Flavored"
2017-01-04,1624.33,1091400,"Iowa Distilleries"
2017-01-04,1039.32,1092100,"Imported Distilled Spirit Specialty"
2017-01-04,1533.25,1701100,"Temporary & Specialty Packages"
2017-01-04,1099.23,1901200,"Special Order Items"
2017-01-04,1102.03,"",""
2017-01-05,32070.09,1011100,"Blended Whiskies"
2017-01-05,59841.95,1011200,"Straight Bourbon Whiskies"
2017-01-05,2207.16,1011300,"Single Barrel Bourbon Whiskies"
2017-01-05,32711.5,1011400,"Tennessee Whiskies"
2017-01-05,137.76,1011500,"Bottled in Bond Bourbon"
2017-01-05,14407.09,1011600,"Straight Rye Whiskies"
2017-01-05,476.25,1011700,"Corn Whiskies"
2017-01-05,129190.89,1012100,"Canadian Whiskies"
2017-01-05,29827.84,1012200,"Scotch Whiskies"
2017-01-05,11668.53,1012300,"Single Malt Scotch"
2017-01-05,24586.24,1012400,"Irish Whiskies"
2017-01-05,25310.73,1022100,"Mixto Tequila"
2017-01-05,58808.93,1022200,"100% Agave Tequila"
2017-01-05,750.96,1022300,Mezcal
2017-01-05,133.56,1031000,"American Vodka"
2017-01-05,161683.34,1031100,"American Vodkas"
2017-01-05,39807.18,1031200,"American Flavored Vodka"
2017-01-05,68196.26,1032100,"Imported Vodkas"
2017-01-05,33200.56,1032200,"Imported Flavored Vodka"
2017-01-05,11771.36,1041100,"American Dry Gins"
2017-01-05,292.2,1041200,"Flavored Gin"
2017-01-05,284.55,1041300,"American Sloe Gins"
2017-01-05,15267.99,1042100,"Imported Dry Gins"
2017-01-05,18411.57,1051100,"American Brandies"
2017-01-05,37583.87,1052100,"Imported Brandies"
